Block_Code,Block_Name,Band,Site,Date,Specific_Conductance,Chloride,Sulfate,NO2,NplusN,NH4,DIN,DRP,DiSi,DOC,SUVA,SPM,PC,PN,B,Ba,Ca,K,Mg,Na,S,Sr
Boat_B,Boat Sample – Band B,B,BANDB,2000-02-20,140,4,10,0.11,10.4,0.97,11.4,0.82,329,2.2,0.064,37,0.54,0.07,0.05,0.02,12,1.4,6,7,10.1,0.09
Boat_C,Boat Sample – Band C,C,BANDC,2000-02-20,145,4,11,0.16,9.3,1.26,10.5,1,316,2.6,0.072,33,0.59,0.06,0.06,0.02,12,1.5,6,8,9.6,0.09
Boat_D,Boat Sample – Band D,D,BANDD,2000-02-20,416,16,42,1.15,27,5.71,32.7,2.42,256,7,0.051,47,1.26,0.17,0.13,0.06,21,3.5,14,32,8.1,0.24
Outlet,Southern Outlet,NA,LH1,2000-04-11,527,33,51,1.16,50.9,4.18,55.1,2.91,212,NA,NA,98,NA,NA,0.42,0.06,28,2.8,26,53,7.1,0.32
Outlet,Southern Outlet,NA,PS1,2000-03-23,558,28,54,0.35,17.7,1.68,19.4,1.46,194,NA,NA,130,NA,NA,0.5,0.07,33,2.6,30,47,6.3,0.36
Outlet,Southern Outlet,NA,PS1,2000-04-11,341,20,29,0.8,30,6.23,36.2,1.89,236,NA,NA,79,NA,NA,0.22,0.04,21,1.8,15,20,7.3,0.2
Outlet,Southern Outlet,NA,PS2,2000-03-23,536,26,51,0.31,15.1,1.72,16.9,1.32,204,NA,NA,98,NA,NA,0.5,0.07,32,2.6,28,47,6.4,0.34
Outlet,Southern Outlet,NA,PS2,2000-04-11,322,19,27,0.75,27.6,6.49,34.1,1.81,228,NA,NA,84,NA,NA,0.21,0.04,19,1.9,16,19,7.8,0.18
Outlet,Southern Outlet,NA,PS3,2000-03-23,551,27,54,0.35,17.6,1.76,19.4,1.52,208,NA,NA,77,NA,NA,0.52,0.07,32,2.7,29,51,6.6,0.35
Outlet,Southern Outlet,NA,YB-1,2000-04-11,221,11,18,0.58,18.8,9.29,28.1,1.42,242,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
