Block_Code,Block_Name,Band,Site,Date,B,Ba,Ca,K,Mg,Na,S,Sr
CC113,Cache Creek,,CC113,2000-03-23,1.13,0.09,33,2.4,33,37,5.6,0.41
CC113,Cache Creek,,CC113,2000-03-28,1.26,0.1,34,2.6,35,40,4.1,0.41
CC113,Cache Creek,,CC113,2000-04-03,1.83,0.15,51,3,46,56,5.8,0.55
CC113,Cache Creek,,CC113,2000-04-17,1.08,0.1,32,2.2,30,36,5.2,0.38
CC113,Cache Creek,,CC113,2000-05-21,1.89,0.16,53,3.1,43,54,6,0.56
WS102,Willow Slough,,WS102,2000-01-26,0.99,0.1,29,6.4,24,43,6.4,0.34
WS102,Willow Slough,,WS102,2000-02-16,0.68,0.07,18,4.5,14,17,8.1,0.2
WS102,Willow Slough,,WS102,2000-02-28,0.69,0.08,26,3.8,18,35,6.7,0.29
WS102,Willow Slough,,WS102,2000-03-07,0.68,0.08,27,3.4,18,33,6.9,0.29
WS102,Willow Slough,,WS102,2000-03-17,1.75,0.16,57,3.1,44,85,6,0.62
WS102,Willow Slough,,WS102,2000-03-23,2.09,0.12,42,2.6,49,95,1,0.58
WS102,Willow Slough,,WS102,2000-03-28,2,0.13,37,2,86,130,8.6,0.6
WS102,Willow Slough,,WS102,2000-04-03,1.41,0.11,40,2.9,39,52,4.1,0.46
WS102,Willow Slough,,WS102,2000-04-17,0.88,0.08,27,3,24,23,5.2,0.32
WS102,Willow Slough,,WS102,2000-05-21,1.15,0.1,32,3.3,32,39,4.8,0.4
PCD,Putah Creek,,PCD,2000-02-16,0.18,0.05,20,3,19,18,8.1,0.22
PCD,Putah Creek,,PCD,2000-02-28,0.21,0.06,27,2.5,24,19,8.5,0.27
PCD,Putah Creek,,PCD,2000-03-07,0.13,0.05,21,1.8,26,14,8.9,0.19
PCD,Putah Creek,,PCD,2000-03-17,0.11,0.05,19,1.6,30,14,8.7,0.18
PCD,Putah Creek,,PCD,2000-03-23,0.12,0.05,19,1.7,28,13,8.4,0.17
PCD,Putah Creek,,PCD,2000-03-28,0.11,0.05,20,1.5,31,13,8,0.19
PCD,Putah Creek,,PCD,2000-04-03,0.19,0.06,22,2.2,35,27,9,0.24
PCD,Putah Creek,,PCD,2000-04-17,0.35,0.09,30,3.3,42,38,9.4,0.39
PCD,Putah Creek,,PCD,2000-05-21,0.38,0.1,32,1.9,44,32,9.4,0.43
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-17,0.12,0.03,13,2.3,9,13,8.2,0.14
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-17,0.06,0.02,9,1.5,5,7,8.6,0.07
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-17,0.04,0.02,9,1.4,5,6,8.2,0.07
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-17,0.04,0.02,10,1.6,6,7,9,0.08
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-18,0.04,0.02,10,1.4,5,6,8.2,0.07
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-18,0.04,0.02,9,1.4,5,6,8.1,0.07
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-18,0.16,0.06,20,3.5,13,34,8.8,0.22
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-19,0.04,0.02,11,1.4,6,7,9.6,0.09
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-19,0.04,0.02,11,1.4,6,6,8.8,0.09
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-19,0.12,0.04,17,2.8,11,16,7.5,0.18
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-20,0.05,0.02,12,1.5,6,8,9.6,0.1
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-20,0.05,0.02,12,1.4,6,7,10.1,0.09
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-20,0.06,0.02,12,1.5,6,8,9.6,0.09
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-20,0.13,0.06,21,3.5,14,32,8.1,0.24
Outlet,Southern Outlet,,PS1,2000-03-23,0.5,0.07,33,2.6,30,47,6.3,0.36
Outlet,Southern Outlet,,PS2,2000-03-23,0.5,0.07,32,2.6,28,47,6.4,0.34
Outlet,Southern Outlet,,PS3,2000-03-23,0.52,0.07,32,2.7,29,51,6.6,0.35
Outlet,Southern Outlet,,PS1,2000-04-11,0.22,0.04,21,1.8,15,20,7.3,0.2
Outlet,Southern Outlet,,PS2,2000-04-11,0.21,0.04,19,1.9,16,19,7.8,0.18
Outlet,Southern Outlet,,LH1,2000-04-11,0.42,0.06,28,2.8,26,53,7.1,0.32
Outlet,Southern Outlet,,YB1,2000-04-11,0.11,0.03,15,1.4,10,12,7.6,0.12
